TreeGrOSS Exchange Data : by BWINPro
95650200 6H
1993;Jahr
0.19;Flaechengroesse ha
4;Anzahl Eckpunkte
No;x;y;z;
ECK1 ;60.22;18.29;0.00
ECK2 ;30.89;0.00;0.00
ECK3 ;0.00;40.93;0.00
ECK4 ;34.58;60.20;0.00
Code;N;No;Age;DBH;Height;Site index;Crown Base;Crown width;alive;Removal Code;x-Coord.;y-Coord.;z-Coord.;Crop tree;
211;1;145;41;4.90;6.43;-9.00;2.59;1.39;-1;0;57.51;17.00;0.00;0;
211;1;146;41;9.60;14.58;-9.00;7.04;2.86;-1;0;56.46;17.00;0.00;0;
211;1;147;41;13.10;13.51;-9.00;6.05;3.67;-1;0;56.93;16.00;0.00;0;
211;1;148;41;4.80;8.81;-9.00;4.11;1.35;-1;0;54.83;18.00;0.00;0;
211;1;150;41;16.80;14.34;-9.00;6.26;4.36;-1;0;52.12;14.00;0.00;0;
211;1;151;41;9.30;11.34;-9.00;5.10;2.79;-1;0;52.72;15.00;0.00;0;
211;1;152;41;9.40;13.11;-9.00;6.16;2.81;-1;0;52.32;15.00;0.00;0;
211;1;153;41;9.30;9.69;-9.00;4.14;2.79;-1;0;51.88;14.00;0.00;0;
211;1;155;41;12.30;14.34;-9.00;6.59;3.51;-1;0;52.00;19.00;0.00;0;
211;1;156;41;15.10;12.87;-9.00;5.56;4.06;-1;0;50.57;20.00;0.00;0;
211;1;157;41;8.80;10.11;-9.00;4.42;2.65;-1;0;51.43;19.00;0.00;0;
211;1;158;41;15.30;15.11;-9.00;6.79;4.09;-1;0;50.74;18.00;0.00;0;
211;1;159;41;9.10;12.11;-9.00;5.59;2.73;-1;0;49.93;18.00;0.00;0;
211;1;160;41;8.90;10.97;-9.00;4.92;2.68;-1;0;50.19;24.00;0.00;0;
211;1;161;41;13.10;12.95;-9.00;5.72;3.67;-1;0;50.26;26.00;0.00;0;
211;1;166;41;5.30;8.52;-9.00;3.84;1.53;-1;0;47.91;20.00;0.00;0;
211;1;168;41;16.40;14.98;-9.00;6.64;4.29;-1;0;46.08;18.00;0.00;0;
211;1;169;41;7.30;9.32;-9.00;4.09;2.20;-1;0;46.41;18.00;0.00;0;
211;1;170;41;4.10;9.07;-9.00;4.43;1.10;-1;0;48.48;17.00;0.00;0;
211;1;171;41;12.90;10.49;-9.00;4.37;3.63;-1;0;50.25;15.00;0.00;0;
211;1;172;41;14.90;11.28;-9.00;4.71;4.02;-1;0;50.47;14.00;0.00;0;
211;1;173;41;7.20;11.56;-9.00;5.49;2.17;-1;0;51.79;13.00;0.00;0;
211;1;174;41;6.90;9.77;-9.00;4.41;2.08;-1;0;50.68;13.00;0.00;0;
211;1;177;41;12.80;11.93;-9.00;5.18;3.61;-1;0;45.95;13.00;0.00;0;
211;1;183;41;9.20;10.69;-9.00;4.73;2.76;-1;0;43.08;24.00;0.00;0;
211;1;199;41;5.70;8.63;-9.00;3.86;1.67;-1;0;41.32;13.00;0.00;0;
211;1;201;41;10.90;14.00;-9.00;6.53;3.19;-1;0;38.75;16.00;0.00;0;
211;1;202;41;4.00;9.57;-9.00;4.81;1.06;-1;0;39.43;16.00;0.00;0;
211;1;211;41;5.90;10.39;-9.00;4.94;1.74;-1;0;35.30;14.00;0.00;0;
211;1;212;41;7.90;10.75;-9.00;4.89;2.39;-1;0;34.98;14.00;0.00;0;
211;1;213;41;9.40;10.27;-9.00;4.46;2.81;-1;0;35.49;13.00;0.00;0;
211;1;214;41;10.60;12.99;-9.00;5.95;3.12;-1;0;36.01;13.00;0.00;0;
211;1;215;41;11.80;13.61;-9.00;6.21;3.40;-1;0;35.96;12.00;0.00;0;
211;1;216;41;6.50;11.21;-9.00;5.37;1.94;-1;0;38.72;13.00;0.00;0;
211;1;217;41;13.50;13.62;-9.00;6.08;3.75;-1;0;38.84;12.00;0.00;0;
211;1;218;41;6.80;10.98;-9.00;5.18;2.04;-1;0;39.20;12.00;0.00;0;
211;1;220;41;5.60;7.69;-9.00;3.28;1.64;-1;0;39.56;7.00;0.00;0;
211;1;221;41;4.70;10.16;-9.00;5.03;1.32;-1;0;39.49;7.00;0.00;0;
211;1;222;41;15.10;13.46;-9.00;5.88;4.06;-1;0;39.15;6.00;0.00;0;
211;1;224;41;13.20;11.72;-9.00;5.03;3.69;-1;0;34.23;2.00;0.00;0;
211;1;225;41;7.20;9.93;-9.00;4.48;2.17;-1;0;33.25;2.00;0.00;0;
211;1;226;41;15.70;12.62;-9.00;5.39;4.17;-1;0;32.75;1.00;0.00;0;
211;1;227;41;6.40;11.52;-9.00;5.59;1.91;-1;0;32.23;2.00;0.00;0;
211;1;228;41;13.10;14.47;-9.00;6.59;3.67;-1;0;32.47;4.00;0.00;0;
211;1;229;41;11.30;12.90;-9.00;5.84;3.28;-1;0;31.41;4.00;0.00;0;
211;1;230;41;8.30;13.46;-9.00;6.52;2.51;-1;0;31.22;4.00;0.00;0;
211;1;231;41;8.30;12.18;-9.00;5.72;2.51;-1;0;31.53;3.00;0.00;0;
211;1;233;41;8.30;9.23;-9.00;3.95;2.51;-1;0;28.97;4.00;0.00;0;
211;1;234;41;11.60;13.72;-9.00;6.29;3.35;-1;0;28.99;4.00;0.00;0;
211;1;235;41;9.80;10.70;-9.00;4.69;2.92;-1;0;30.74;5.00;0.00;0;
211;1;237;41;13.80;14.06;-9.00;6.30;3.81;-1;0;34.23;6.00;0.00;0;
211;1;238;41;5.90;10.77;-9.00;5.19;1.74;-1;0;38.35;11.00;0.00;0;
211;1;239;41;6.70;11.59;-9.00;5.58;2.01;-1;0;38.38;12.00;0.00;0;
211;1;240;41;8.90;13.18;-9.00;6.26;2.68;-1;0;37.84;12.00;0.00;0;
211;1;241;41;12.90;12.49;-9.00;5.48;3.63;-1;0;32.11;11.00;0.00;0;
211;1;271;41;5.20;9.59;-9.00;4.54;1.50;-1;0;16.85;45.00;0.00;0;
211;1;272;41;12.10;11.50;-9.00;4.98;3.46;-1;0;14.87;44.00;0.00;0;
211;1;273;41;6.30;10.30;-9.00;4.82;1.88;-1;0;14.32;45.00;0.00;0;
211;1;274;41;7.50;12.72;-9.00;6.18;2.27;-1;0;14.69;44.00;0.00;0;
211;1;275;41;5.60;10.49;-9.00;5.06;1.64;-1;0;14.13;45.00;0.00;0;
211;1;278;41;16.80;13.90;-9.00;6.02;4.36;-1;0;13.00;48.00;0.00;0;
211;1;279;41;6.00;9.16;-9.00;4.15;1.78;-1;0;13.25;47.00;0.00;0;
211;1;280;41;12.20;10.88;-9.00;4.62;3.48;-1;0;13.82;46.00;0.00;0;
211;1;281;41;4.50;9.92;-9.00;4.92;1.24;-1;0;7.64;43.00;0.00;0;
211;1;282;41;5.70;12.47;-9.00;6.38;1.67;-1;0;5.13;43.00;0.00;0;
211;1;283;41;3.20;6.80;-9.00;3.09;0.77;-1;0;4.89;43.00;0.00;0;
211;1;284;41;7.50;12.85;-9.00;6.26;2.27;-1;0;5.00;42.00;0.00;0;
211;1;285;41;4.60;10.11;-9.00;5.02;1.28;-1;0;4.88;42.00;0.00;0;
211;1;289;41;9.50;11.89;-9.00;5.41;2.84;-1;0;15.17;35.00;0.00;0;
211;1;291;41;5.70;8.25;-9.00;3.61;1.67;-1;0;16.09;33.00;0.00;0;
211;1;293;41;5.40;8.70;-9.00;3.94;1.57;-1;0;17.86;32.00;0.00;0;
211;1;294;41;13.90;13.40;-9.00;5.92;3.83;-1;0;17.83;30.00;0.00;0;
211;1;295;41;10.10;14.66;-9.00;7.02;2.99;-1;0;17.22;30.00;0.00;0;
211;1;296;41;18.80;16.31;-9.00;7.22;4.69;-1;0;21.06;29.00;0.00;0;
211;1;298;41;5.70;11.48;-9.00;5.70;1.67;-1;0;19.94;26.00;0.00;0;
211;1;300;41;8.10;12.42;-9.00;5.90;2.45;-1;0;23.94;24.00;0.00;0;
211;1;301;41;7.30;10.43;-9.00;4.77;2.20;-1;0;23.62;24.00;0.00;0;
211;1;310;41;5.60;10.79;-9.00;5.26;1.64;-1;0;25.75;10.00;0.00;0;
211;1;311;41;9.10;13.24;-9.00;6.27;2.73;-1;0;25.10;9.00;0.00;0;
211;1;312;41;11.50;14.06;-9.00;6.50;3.33;-1;0;26.20;7.00;0.00;0;
211;1;314;41;10.80;13.03;-9.00;5.96;3.17;-1;0;22.33;13.00;0.00;0;
211;1;319;41;10.20;13.06;-9.00;6.04;3.02;-1;0;17.97;21.00;0.00;0;
211;1;320;41;7.00;11.80;-9.00;5.67;2.11;-1;0;17.79;21.00;0.00;0;
211;1;323;41;13.10;9.18;-9.00;3.66;3.67;-1;0;17.81;24.00;0.00;0;
211;1;324;41;11.90;13.23;-9.00;5.98;3.42;-1;0;17.79;25.00;0.00;0;
